화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
6601,25,202608,7001,33755,977,222,160,160,50,가평군,437,599,34791,경기,77,240,1203,175,26030,26365,147,149
18407,22,202608,21389,195716,3460,721,1857,201,219,고양시 덕양구,698,5338,201752,경기,152,2781,4093,323,173369,175549,480,481
12984,14,202608,15190,133287,2125,578,3392,78,166,고양시 일산동구,281,6283,139851,경기,77,2128,2799,112,117780,121284,398,597
8851,2,202608,10394,114640,1856,383,2295,35,151,고양시 일산서구,133,4511,119284,경기,20,1508,2433,76,103703,106074,230,557
1930,15,202608,2696,32247,471,124,319,127,16,과천시,696,1017,33960,경기,97,639,611,457,29753,30529,93,43
9981,11,202608,12491,112489,2089,469,1603,113,216,광명시,339,4627,117455,경기,63,2397,2563,152,100177,101932,242,411
29990,17,202608,35817,211474,4223,1167,877,123,373,광주시,446,9244,221164,경기,89,5704,6602,217,176484,177578,777,2290
8122,12,202608,9803,72485,1345,363,1189,98,143,구리시,280,3193,75958,경기,64,1583,1687,106,62810,64105,208,278
8601,12,202608,12385,96419,1750,454,827,88,240,군포시,303,4935,101657,경기,74,3696,1996,129,85866,86822,202,172
30463,10,202608,35307,238709,4307,1432,3216,209,650,김포시,595,10156,249460,경기,103,4635,6065,273,203167,206656,772,1655
41653,30,202608,48755,320681,6131,1677,2168,226,497,남양주시,835,10555,332071,경기,180,6876,7325,399,271747,274314,1150,1014
5267,11,202608,6042,38659,1083,187,634,80,49,동두천시,236,1453,40348,경기,41,695,1199,104,32182,32920,127,75
130,0,202608,134,267,38,1,1,0,1,부천시,4,16,287,경기,0,4,48,4,99,104,0,10
7860,1,202608,9187,82719,1818,364,1070,37,169,부천시 소사구,103,2638,85460,경기,18,1290,1945,47,72847,73964,194,109
9269,3,202608,11102,62257,1593,357,1515,35,165,부천시 오정구,108,3884,66249,경기,30,1798,2029,40,51206,52761,189,406
14977,24,202608,18513,145887,3051,604,2626,152,194,부천시 원미구,522,6798,153207,경기,146,3384,3791,200,127473,130299,386,594
7246,8,202608,9312,189030,2101,511,3942,101,139,성남시 분당구,368,7469,196867,경기,53,1965,3577,206,179319,183467,364,1423
7275,3,202608,8937,82914,1834,336,2009,80,156,성남시 수정구,317,3978,87209,경기,63,1582,2128,171,73628,75808,177,231
