no,ranking,book_name,author_name,publisher,pub_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,cover_url,detail_url
86,86,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,03810,,813.7,문학 > 한국문학 > 소설,31386,https://image.aladin.co.kr/product/27692/63/cover/k082733434_1.jpg,https://data4library.kr/bookV?seq=6065686
87,87,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,9788934983439,,3,,,31261,https://image.aladin.co.kr/product/28386/25/cover/8934983434_1.jpg,https://data4library.kr/bookV?seq=6345379
88,88,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168418783,77490,13,472,자연과학 > 생물과학 > 생물학,31066,https://image.aladin.co.kr/product/34425/96/cover200/k422932026_2.jpg,https://data4library.kr/bookV?seq=6927414
89,89,흔한남매 과학 탐험대 5 : 물리 1,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,9788934940753,,5,,,31054,https://image.aladin.co.kr/product/29615/64/cover/8934940751_1.jpg,https://data4library.kr/bookV?seq=6477919
90,90,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,03810,,813.62,문학 > 한국문학 > 소설,31018,https://image.aladin.co.kr/product/30048/51/cover/8936438832_1.jpg,https://data4library.kr/bookV?seq=6551957
91,91,죽이고 싶은 아이 :이꽃님 장편소설,지은이: 이꽃님,우리학교,2024,9791167552723,44810,2,813.7,문학 > 한국문학 > 소설,30886,https://image.aladin.co.kr/product/34179/34/cover200/k122931213_1.jpg,https://data4library.kr/bookV?seq=6893936
92,92,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168415539,77490,10,472,자연과학 > 생물과학 > 생물학,30801,https://image.aladin.co.kr/product/31930/10/cover/k412833952_1.jpg,https://data4library.kr/bookV?seq=6716547
93,93,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,9791193506516,03100,,224.2,"종교 > 불교 > 법어, 신앙록, 신앙생활",30639,https://image.aladin.co.kr/product/33973/70/cover200/k682930444_1.jpg,https://data4library.kr/bookV?seq=6878420
94,94,흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ,원작: 흔한남매 ;그림: 유난희,미래엔,2022,9791168410930,77810,,810,문학 > 한국문학 > 한국문학,30632,https://image.aladin.co.kr/product/28926/99/cover/k602836219_1.jpg,https://data4library.kr/bookV?seq=6409046
95,95,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,04840,,843.6,문학 > 영미문학 > 소설,30631,https://image.aladin.co.kr/product/27045/43/cover/8925588730_1.jpg,https://data4library.kr/bookV?seq=5969086
96,96,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168415591,77030,3,388,"사회과학 > 풍속, 민속학 > 민간전승",30625,https://image.aladin.co.kr/product/31966/80/cover/k562834162_1.jpg,https://data4library.kr/bookV?seq=6718946
97,97,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,9791191056372,03320,,327.04,사회과학 > 경제학 > 금융,30608,https://image.aladin.co.kr/product/25967/85/cover/k412737326_1.jpg,https://data4library.kr/bookV?seq=5846583
98,98,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,9788936446819,77810,,813.7,문학 > 한국문학 > 소설,30573,https://bookthumb-phinf.pstatic.net/cover/093/451/09345174.jpg?type=m1&udate=20180718,https://data4library.kr/bookV?seq=2396971
99,99,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,03320,,327.04,사회과학 > 경제학 > 금융,30544,https://image.aladin.co.kr/product/24191/64/cover/k562639753_1.jpg,https://data4library.kr/bookV?seq=5678862
100,100,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,9788934930549,,4,,,30518,https://image.aladin.co.kr/product/28932/34/cover/8934930543_1.jpg,https://data4library.kr/bookV?seq=6408666
101,101,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9791194330592,77400,12,400,자연과학 > 자연과학 > 자연과학,30482,https://image.aladin.co.kr/product/35259/18/cover200/k152934243_2.jpg,https://data4library.kr/bookV?seq=6978493
102,102,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,9791168416840,77490,11,472,자연과학 > 생물과학 > 생물학,30148,https://image.aladin.co.kr/product/32932/88/cover/k672936940_1.jpg,https://data4library.kr/bookV?seq=6796711
103,103,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,9788954654753,03810,,813.7,문학 > 한국문학 > 소설,30105,https://image.aladin.co.kr/product/17970/0/cover/8954654754_1.jpg,https://data4library.kr/bookV?seq=5359157
104,104,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168417656,77030,4,388,"사회과학 > 풍속, 민속학 > 민간전승",30104,https://image.aladin.co.kr/product/33188/45/cover/k742937532_1.jpg,https://data4library.kr/bookV?seq=6814802
105,105,흔한남매 과학 탐험대 6 : 물리 2,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)",주니어김영사,2022,9788934946793,,6,,,29953,https://image.aladin.co.kr/product/30479/22/cover/8934946792_1.jpg,https://data4library.kr/bookV?seq=6592591
106,106,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791190409131,74810,2,813.7,문학 > 한국문학 > 소설,29942,https://image.aladin.co.kr/product/28393/27/cover/k592835817_1.jpg,https://data4library.kr/bookV?seq=6346812
107,107,(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식,원작: 흔한남매 ;그림: 도니패밀리,미래엔,2022,9791168413078,77030,1,388,"사회과학 > 풍속, 민속학 > 민간전승",29917,https://image.aladin.co.kr/product/30112/78/cover/k402839980_1.jpg,https://data4library.kr/bookV?seq=6558774
108,108,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,9791198511577,74810,6,813.7,문학 > 한국문학 > 소설,29819,https://image.aladin.co.kr/product/33928/37/cover200/k762930138_2.jpg,https://data4library.kr/bookV?seq=6875585
