순번,순위,도서명,저자,출판사,발행년도,ISBN13,대출건수,주제분류명
180,180,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791191766318,7977,"자연과학 > 자연과학 > 전집, 총서"
181,180,바다가 들리는 편의점 ,마치다 소노코 지음 ;황국영 옮김,바이포엠 스튜디오,2023,9791192579504,7977,문학 > 일본문학 > 소설
182,182,여름을 한 입 베어 물었더니 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2023,9788954694575,7952,문학 > 한국문학 > 소설
183,183,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,9791168418462,7931,자연과학 > 자연과학 > 자연과학
184,184,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031100,7930,역사 > 아시아(아세아) > 한국
185,185,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,9791190182737,7927,"자연과학 > 자연과학 > 전집, 총서"
186,186,늪 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2024,9788966351985,7901,문학 > 일본문학 > 소설
187,187,아홉 살 마음 사전 ,박성우 글 ;김효은 그림,창비,2017,9788936447014,7853,철학 > 심리학 > 각론
188,188,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,7828,문학 > 한국문학 > 소설
189,189,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,9791194330592,7825,자연과학 > 자연과학 > 자연과학
190,190,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,7815,문학 > 한국문학 > 소설
191,191,호랑이 빵집,글: 서지원 ;그림: 홍그림,지학사,2023,9791162041376,7808,문학 > 한국문학 > 소설
192,192,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,9791130622590,7793,문학 > 한국문학 > 소설
193,193,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,9791192504230,7756,총류 > 백과사전 > 한국어
194,194,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025847,7743,역사 > 아시아(아세아) > 한국
195,195,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196025861,7726,역사 > 아시아(아세아) > 한국
196,196,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9791196232160,7649,역사 > 아시아(아세아) > 한국
197,197,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791191496208,7645,역사 > 아시아(아세아) > 한국
198,198,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791193031025,7624,역사 > 아시아(아세아) > 한국
199,199,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,9791198179913,7617,역사 > 아시아(아세아) > 한국
200,200,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,7609,철학 > 심리학 > 각론
