brand,car_name,car_category,fuel_type,price_str,price_num,avg_efficiency
벤츠,Electric CLA,승용,전기(배터리),"5,290만원",5290,4.9㎞/kWh
렉서스,RX,승용,하이브리드,"8,790만원",8790,12.35㎞/ℓ
BMW,i5,승용,전기(배터리),"8,490만원",8490,4.3㎞/kWh
벤츠,S-Class,승용,가솔린,"1억 3,950만원",13950,10.2㎞/ℓ
벤츠,S-Class,승용,하이브리드,"1억 3,950만원",13950,10.2㎞/ℓ
벤츠,S-Class,승용,디젤,"1억 3,950만원",13950,10.2㎞/ℓ
폭스바겐,ID.5,승용,전기(배터리),"4,452만원",4452,5.1㎞/kWh
KGM,무쏘 EV,화물,전기(배터리),"4,800만원",4800,3.8㎞/kWh
제네시스,GV60,승용,전기(배터리),"6,490만원",6490,4.55㎞/kWh
현대,아반떼 N,승용,가솔린,"3,356만원",3356,10.5㎞/ℓ
KGM,토레스 EVX,승용,전기(배터리),"4,470만원",4470,4.8㎞/kWh
아우디,The new A5,승용,가솔린,"4,844만원",4844,11.85㎞/ℓ
아우디,The new A5,승용,디젤,"4,844만원",4844,11.85㎞/ℓ
렉서스,All New ES Electric,승용,전기(배터리),"7,160만원",7160,5.55㎞/kWh
BMW,X6,승용,가솔린,"1억 1,980만원",11980,9.85㎞/ℓ
BMW,X6,승용,디젤,"1억 1,980만원",11980,9.85㎞/ℓ
폭스바겐,ID.4,승용,전기(배터리),"4,452만원",4452,4.8㎞/kWh
벤츠,C-Class,승용,가솔린,"5,599만원",5599,11.55㎞/ℓ
토요타,Alphard,승용,하이브리드,"8,790만원",8790,13.5㎞/ℓ
토요타,Camry,승용,하이브리드,"4,843만원",4843,17.1㎞/ℓ
기아,봉고 3 EV,화물,전기(배터리),"4,345만원",4345,2.9㎞/kWh
BMW,4 Series,승용,가솔린,"6,140만원",6140,11.65㎞/ℓ
쉐보레,트레일블레이저,승용,가솔린,"2,796만원",2796,12.25㎞/ℓ
볼보,S90,승용,가솔린,"6,530만원",6530,12.25㎞/ℓ
볼보,S90,승용,하이브리드,"6,530만원",6530,12.25㎞/ℓ
기아,K9,승용,가솔린,"6,034만원",6034,8.55㎞/ℓ
렉서스,ES,승용,하이브리드,"6,725만원",6725,17㎞/ℓ
BMW,iX1,승용,전기(배터리),"5,920만원",5920,4.65㎞/kWh
제네시스,Electrified GV70,승용,전기(배터리),"7,580만원",7580,4.5㎞/kWh
벤츠,G-Class,승용,가솔린,"1억 9,490만원",19490,7.9㎞/ℓ
벤츠,G-Class,승용,디젤,"1억 9,490만원",19490,7.9㎞/ℓ
볼보,EX90,승용,전기(배터리),1억 620만원,10620,3.85㎞/kWh
아우디,A3,승용,가솔린,"3,780만원",3780,10.65㎞/ℓ
BMW,X1,승용,가솔린,"5,140만원",5140,12.4㎞/ℓ
BMW,X1,승용,디젤,"5,140만원",5140,12.4㎞/ℓ
BMW,i4,승용,전기(배터리),"6,960만원",6960,4.4㎞/kWh
