"car_id";"sido_cd";"sido_nm";"브랜드";"차량명";"차종";"연료형태";"출고가";"km당 연료비";"연비점수";"인프라 점수";"실구매가 점수";"인프라 상황";"지원받은 보조금"
60;"08";"경북";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.17;75.04;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"08";"경북";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.17;75.04;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"09";"경남";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.19;75.0;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"09";"경남";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.19;75.0;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"20";"전남광주";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;106.72;74.84;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"20";"전남광주";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;106.72;74.84;100.0;90.04;"해당사항 없음";"해당사항 없음"
60;"15";"인천";"현대";"디 올 뉴 아반떼";"준중형";"가솔린";2249;105.77;75.09;100.0;90.04;"해당사항 없음";"해당사항 없음"
61;"15";"인천";"현대";"디 올 뉴 아반떼";"준중형";"하이브리드";2249;105.77;75.09;100.0;90.04;"해당사항 없음";"해당사항 없음"
119;"17";"대전";"현대";"코나 일렉트릭";"소형SUV";"전기(배터리)";4152;68.63;92.41;55.58;89.39;"충전기당 전기차 수 : 1.45";"1900"
134;"05";"충남";"폭스바겐";"ID.5";"중형SUV";"전기(배터리)";4452;68.63;92.41;44.32;89.39;"충전기당 전기차 수 : 1.48";"2200"
140;"05";"충남";"폭스바겐";"ID.4";"중형SUV";"전기(배터리)";4452;72.92;89.8;44.32;89.39;"충전기당 전기차 수 : 1.48";"2200"
134;"04";"충북";"폭스바겐";"ID.5";"중형SUV";"전기(배터리)";4452;68.63;92.41;38.69;89.39;"충전기당 전기차 수 : 1.52";"2200"
140;"04";"충북";"폭스바겐";"ID.4";"중형SUV";"전기(배터리)";4452;72.92;89.8;38.69;89.39;"충전기당 전기차 수 : 1.52";"2200"
16;"17";"대전";"기아";"EV5";"중형SUV";"전기(배터리)";4155;75.27;87.63;55.58;89.29;"충전기당 전기차 수 : 1.45";"1900"
66;"08";"경북";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;33.06;89.27;"충전기당 전기차 수 : 1.58";"2100"
66;"09";"경남";"기아";"EV6";"중형SUV";"전기(배터리)";4360;75.27;87.63;27.43;89.27;"충전기당 전기차 수 : 1.64";"2100"
141;"05";"충남";"KGM";"토레스 EVX";"중형SUV";"전기(배터리)";4470;72.92;89.8;44.32;89.23;"충전기당 전기차 수 : 1.48";"2200"
141;"04";"충북";"KGM";"토레스 EVX";"중형SUV";"전기(배터리)";4470;72.92;89.8;38.69;89.23;"충전기당 전기차 수 : 1.52";"2200"
114;"18";"울산";"볼보";"EX30";"소형SUV";"전기(배터리)";3991;72.92;89.8;89.37;89.19;"충전기당 전기차 수 : 0.96";"1700"
114;"02";"경기";"볼보";"EX30";"소형SUV";"전기(배터리)";3991;72.92;89.8;83.74;89.19;"충전기당 전기차 수 : 1.01";"1700"
22;"18";"울산";"기아";"EV3";"소형SUV";"전기(배터리)";3995;72.16;90.47;89.37;89.15;"충전기당 전기차 수 : 0.96";"1700"
